"meshblockID" "urbanRuralGrade" "code" "urbanRural"
2317400 "Main urban area" "A" "urban"
1723600 "Main urban area" "A" "urban"
1695600 "Main urban area" "A" "urban"
1697300 "Main urban area" "A" "urban"
1714000 "Main urban area" "A" "urban"
1712500 "Main urban area" "A" "urban"
1723200 "Main urban area" "A" "urban"
2095900 "Main urban area" "A" "urban"
2095100 "Main urban area" "A" "urban"
85501 "Main urban area" "A" "urban"
439303 "Rural area with low urban influence" "F" "rural"
180703 "Main urban area" "A" "urban"
223300 "Main urban area" "A" "urban"
1722600 "Main urban area" "A" "urban"
250700 "Main urban area" "A" "urban"
1697000 "Main urban area" "A" "urban"
409900 "Main urban area" "A" "urban"
537200 "Main urban area" "A" "urban"
627500 "Main urban area" "A" "urban"
711173 "Main urban area" "A" "urban"
3128100 "Main urban area" "A" "urban"
3127300 "Main urban area" "A" "urban"
3115300 "Main urban area" "A" "urban"
3128400 "Main urban area" "A" "urban"
3137700 "Main urban area" "A" "urban"
3115400 "Main urban area" "A" "urban"
3127400 "Main urban area" "A" "urban"
3115600 "Main urban area" "A" "urban"
3133300 "Main urban area" "A" "urban"
3136800 "Main urban area" "A" "urban"
1039600 "Highly rural/remote area" "G" "rural"
1030000 "Rural area with low urban influence" "F" "rural"
1371900 "Main urban area" "A" "urban"
1375600 "Main urban area" "A" "urban"
1372000 "Main urban area" "A" "urban"
1380600 "Main urban area" "A" "urban"
1381600 "Main urban area" "A" "urban"
1383502 "Main urban area" "A" "urban"
1370300 "Main urban area" "A" "urban"
1372600 "Main urban area" "A" "urban"
1375100 "Main urban area" "A" "urban"
1382700 "Main urban area" "A" "urban"
1104700 "Independent Urban Area" "B" "urban"
852400 "Rural area with low urban influence" "F" "rural"
1371500 "Main urban area" "A" "urban"
1375500 "Main urban area" "A" "urban"
852001 "Rural area with moderate urban influence" "E" "rural"
851600 "Satellite Urban Area" "C" "urban"
1374200 "Main urban area" "A" "urban"
1371800 "Main urban area" "A" "urban"
1183808 "Independent Urban Area" "B" "urban"
1106601 "Independent Urban Area" "B" "urban"
943900 "Satellite Urban Area" "C" "urban"
1183804 "Independent Urban Area" "B" "urban"
1106400 "Rural area with low urban influence" "F" "rural"
944000 "Satellite Urban Area" "C" "urban"
